,Player,height,weight,born
0,Curly Armstrong,180,77,1918
1,Cliff Barker,188,83,1921
2,Leo Barnhorst,193,86,1924
3,Ed Bartels,196,88,1925
4,Ralph Beard,178,79,1927
5,Gene Berce,180,79,1926
6,Charlie Black,196,90,1921
7,Nelson Bobb,183,77,1924
8,Jake Bornheimer,196,90,1927
9,Vince Boryla,196,95,1927
10,Don Boven,193,95,1925
11,Harry Boykoff,208,102,1922
12,Joe Bradley,190,79,1928
13,Bob Brannum,196,97,1925
14,Carl Braun,196,81,1927
15,Frankie Brian,185,81,1923
16,Price Brookfield,193,83,1920
17,Bob Brown,193,92,1923
18,Jim Browne,208,106,1930
19,Walt Budko,196,99,1925
20,Jack Burmaster,190,86,1926
21,Tommy Byrnes,190,79,1923
22,Bill Calhoun,190,81,1927
23,Don Carlson,183,77,1919
24,Bob Carpenter,196,90,1917
25,Jake Carter,193,88,1924
26,Al Cervi*,180,77,1917
27,John Chaney,190,83,1920
28,Leroy Chollet,188,86,1925
29,Bill Closs,196,88,1922
30,Paul Cloyd,188,81,1920
31,Jack Coleman,201,88,1924
32,Bobby Cook,178,70,1923
33,Ray Corley,183,81,1928
34,Jack Cotton,201,90,1924
35,Dillard Crocker,193,92,1925
36,Chink Crossin,185,74,1923
37,Fran Curran,183,79,1922
38,Jimmy Darden,185,77,1922
39,Bob Davies*,185,79,1920
40,Hook Dillon,190,81,1924
41,Earl Dodd,196,79,1924
42,Joe Dolhon,183,79,1927
43,Bob Doll,196,88,1919
44,Harry Donovan,188,81,1926
45,Andy Duncan,198,88,1922
46,Dike Eddleman,190,85,1922
47,Gene Englund,196,92,1917
48,Bob Evans,188,79,1925
49,Johnny Ezersky,190,79,1922
50,Bob Feerick,190,86,1920
51,George Feigenbaum,185,83,1929
52,Arnie Ferrin,188,81,1925
53,Jerry Fleishman,188,86,1922
54,Joe Fulks*,196,86,1921
55,Bill Gabor,180,77,1922
56,Elmer Gainer,198,88,1918
57,Harry Gallatin*,198,95,1927
58,Vern Gardner,196,90,1925
59,Frank Gates,183,72,1920
60,Dee Gibson,180,79,1923
61,Hoot Gibson,196,89,1921
62,Chuck Gilmur,193,102,1922
63,Normie Glick,201,86,1927
64,Paul Gordon,190,83,1927
65,Joe Graboski,201,88,1930
66,Bud Grant,190,88,1927
67,Don Grate,188,83,1923
68,Alex Groza,201,98,1926
69,Al Guokas,196,90,1925
70,Robert Hahn,208,108,1925
71,Chick Halbert,206,102,1919
72,Bruce Hale,185,77,1918
73,Dale Hamilton,183,81,1919
74,Alex Hannum*,201,95,1923
75,John Hargis,188,81,1920
76,Bob Harris,201,88,1927
77,Bob Harrison,201,88,1927
78,Billy Hassett,180,81,1921
79,Marshall Hawkins,190,92,1924
80,Bill Henry,206,97,1924
81,Bill Herman,190,77,1924
82,Kleggie Hermsen,206,102,1923
83,Sonny Hertzberg,178,79,1922
84,Paul Hoffman,188,88,1925
85,Joe Holland,193,83,1925
86,Red Holzman*,178,79,1920
87,Gene James,193,81,1925
88,Howie Janotta,190,83,1924
89,Tony Jaros,190,83,1920
90,Buddy Jeannette*,180,79,1917
91,Arnie Johnson,196,107,1920
92,Ralph Johnson,180,77,1921
93,Wah Wah,180,77,1921
94,Noble Jorgensen,206,103,1925
95,George Kaftan,190,86,1928
96,Leo Katkaveck,183,83,1923
97,Jack Kerris,198,97,1925
98,Bob Kinney,198,97,1920
99,Walt Kirk,190,78,1924
100,Leo Klier,188,77,1923
101,Duane Klueh,190,79,1926
102,Lee Knorek,201,97,1921
103,Milo Komenich,201,96,1920
104,Leo Kubiak,180,72,1927
105,Frank Kudelka,188,87,1925
106,Walt Lautenbach,188,83,1922
107,Tony Lavelli,190,83,1926
108,Ed Leede,190,83,1927
109,Andrew Levane,188,86,1920
110,Freddie Lewis,188,88,1921
111,Ron Livingstone,208,99,1925
112,John Logan,188,79,1921
113,Ray Lumpp,185,80,1923
114,Ed Macauley*,203,83,1928
115,Johnny Macknowski,183,81,1923
116,John Mahnken,203,99,1922
117,John Mandic,193,92,1919
118,Slater Martin*,178,77,1925
119,Ariel Maughan,193,86,1923
120,Matt Mazza,190,95,1923
